,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
172,Matara Fort,Fort / Historical Site,Southern Province – Matara District,"5.9500° N, 80.5500° E","Matara Fort is a historic colonial fortress located near the Nilwala River and coastline. It reflects the Portuguese, Dutch, and British influence on Sri Lanka’s southern region.","The Portuguese built the original fort in the 16th century, and the Dutch expanded it in the 17th century as part of their coastal defence system. The fort later served administrative purposes during British rule.",Portuguese; expanded by Dutch,1560s Portuguese; Dutch expansion 1640s,Colonial fortress representing southern maritime history.,"Fort walls, Clock Tower, churches, ocean views.",Open access,1 hour,Free,November–April; evening,"Star Fort, Dondra Lighthouse, Polhena Beach, Parey Dewa Temple, Weherahena Temple","Amaloh Boutique Resort, Matara hotels, Polhena Resort, Lakraj Heritage, Lantern Boutique","Vanina Villas Restaurant, The Doctor’s House, seafood restaurants, local cafes, beach restaurants",
173,Star Fort Matara,Fort / Historical Site,Southern Province – Matara District,"5.9500° N, 80.5500° E",Star Fort is a unique small fortress in Matara built in a star-shaped design. It is one of the best-preserved examples of Dutch military architecture in Sri Lanka.,The Dutch constructed Star Fort in 1765 under Governor Baron van Eck as a defensive structure against attacks. Its unusual design allowed soldiers to defend the fort from multiple directions.,Dutch East India Company,Built in 1765,Unique star-shaped Dutch fortification.,"Fort structure, museum, gardens, historical exhibits.",8:30 AM – 4:30 PM,1 hour,Approx. USD 3–5,November–April; morning,"Matara Fort, Dondra Lighthouse, Polhena Beach, Weherahena Temple, Madiha Beach","Amaloh Boutique Resort, Lakraj Heritage, Polhena Resort, Matara hotels, Lantern Boutique","Vanina Villas Restaurant, Doctor’s House, local seafood restaurants, cafes, beach restaurants",
174,Weherahena Temple,Temple / Religious Site,Southern Province – Matara District,"5.9333° N, 80.5333° E",Weherahena Temple is a famous Buddhist temple near Matara known for its enormous underground tunnel temple and large Buddha statue. It is a unique modern religious attraction in southern Sri Lanka.,"The temple was developed in the 20th century under the guidance of Ven. Parawahera Rewatha Thera. Construction began in the 1930s, and the temple became known for its large murals depicting Buddhist stories.",Ven. Parawahera Rewatha Thera,20th century (1939 onward),Famous Buddhist temple featuring a large underground tunnel temple.,"Giant Buddha statue, murals, tunnel shrine, gardens.",8:00 AM – 5:00 PM,1–2 hours,Donation,November–April; morning,"Matara Fort, Star Fort, Dondra Lighthouse, Polhena Beach, Wewurukannala Temple","Amaloh Boutique Resort, Lakraj Heritage, Polhena Resort, Matara hotels, Lantern Boutique","Local Matara restaurants, Doctor’s House, seafood restaurants, cafes, hotel restaurants",
175,Stilt Fishermen Weligama,Cultural Attraction,Southern Province – Matara District,"5.9500° N, 80.4333° E","Stilt fishing is a traditional fishing method practiced along parts of Sri Lanka’s southern coast, especially around Weligama. Fishermen sit on wooden poles fixed in shallow waters to catch fish.","Stilt fishing developed during the 20th century, especially after World War II, as a response to limited fishing space along the coast. It became an iconic symbol of Sri Lankan coastal culture and tourism.",Traditional fishing community,Traditional practice developed over centuries,Iconic symbol of Sri Lankan coastal fishing heritage.,"Stilt fishing demonstrations, photography, coastal views.",Daylight hours,Free / tips,November–April; sunrise/sunset,"Weligama Beach, Mirissa, Coconut Tree Hill, Galle Fort, Koggala Lake","Cape Weligama, Marriott Weligama, W15 Weligama, Weligama Bay Resort, Mandara Resort","Hangten Rooftop, Fish Point, Nomad Cafe, Roti Shop, Chef Akila Kitchen",,
176,Koggala Lake,Lake / Wetland,Southern Province – Galle District,"5.9833° N, 80.3167° E","Koggala Lake is a scenic coastal lagoon near Galle known for islands, mangroves, boat tours, and rich birdlife. It is one of the largest natural lakes in southern Sri Lanka.","Koggala Lake has long supported fishing communities and traditional livelihoods. During World War II, the nearby Koggala area was also used as an airfield by the British Royal Air Force.",Natural lagoon ecosystem,Natural formation,Important wetland and cultural landscape near Galle.,"Boat rides, islands, birds, mangroves, cinnamon islands.",7:00 AM – 5:00 PM,2–3 hours,Boat fees apply,November–April; morning,"Martin Wickramasinghe Museum, Koggala Beach, Galle Fort, Unawatuna, Japanese Peace Pagoda","Kahanda Kanda, The Fortress Resort, Koggala Beach Hotel, Long Beach Resort, Jetwing Lighthouse","The Tuna & Crab, Stick Fishermen Restaurant, Ahangama restaurants, Galle cafes, seafood restaurants",
177,Martin Wickramasinghe Folk Museum,Museum / Cultural Site,Southern Province – Galle District,"5.9833° N, 80.3333° E","Martin Wickramasinghe Folk Museum preserves the cultural heritage, traditional lifestyle, and rural history of Sri Lanka. It showcases artifacts, village houses, farming tools, and exhibits related to the famous writer Martin Wickramasinghe.","The museum was established in 1981 at the birthplace of Martin Wickramasinghe, one of Sri Lanka’s greatest literary figures. It preserves traditional southern Sri Lankan culture and the author’s contribution to literature.",Martin Wickramasinghe Trust,Opened in 1981,"Preserves Sri Lankan rural culture, literature, and traditions.","Traditional house, artifacts, folk displays, gardens.",9:00 AM – 5:00 PM,1 hour,Approx. USD 5,November–April; morning,"Koggala Lake, Koggala Beach, Galle Fort, Unawatuna, Ahangama","The Fortress Resort, Kahanda Kanda, Koggala Beach Hotel, Jetwing Lighthouse, Long Beach Resort","The Tuna & Crab, Galle cafes, seafood restaurants, Stick Fishermen Restaurant, local restaurants",
178,Koggala Beach,Beach,Southern Province – Galle District,"5.9833° N, 80.3167° E","Koggala Beach is a peaceful coastal area known for wide sandy shores, sunsets, and nearby attractions such as Koggala Lake. It provides a quieter beach experience near Galle.",Koggala developed as a coastal settlement connected with fishing and agriculture. Its importance increased during the colonial period due to the nearby airfield and later through tourism development.,Natural coastal area,Natural formation,Peaceful southern beach near Galle and Koggala Lake.,"Swimming, sunsets, beach walks, photography.",Open access,Free,November–April; evening,"Koggala Lake, Galle Fort, Unawatuna, Japanese Peace Pagoda, Martin Wickramasinghe Museum","The Fortress Resort, Kahanda Kanda, Koggala Beach Hotel, Long Beach Resort, Jetwing Lighthouse","The Tuna & Crab, Stick Fishermen Restaurant, Ahangama cafes, seafood restaurants, Galle restaurants",,
179,Rumassala Mountain,Mountain / Nature Site,Southern Province – Galle District,"6.0167° N, 80.2500° E","Rumassala Mountain is a scenic coastal hill near Unawatuna known for forests, ocean views, biodiversity, and legends connected to the Ramayana. It is also home to the Japanese Peace Pagoda.","Rumassala has ancient folklore connections and has long been recognized as a unique ecological area. During colonial times, it was also used as a landmark for ships approaching Galle Harbour.",Natural mountain formation,Ancient geological formation linked with Ramayana legends,Biodiversity hotspot and coastal viewpoint.,"Hiking, Japanese Peace Pagoda, ocean views, wildlife.",Daylight hours,Free,November–April; sunset,"Unawatuna Beach, Jungle Beach, Japanese Peace Pagoda, Galle Fort, Galle Lighthouse","Thaproban Pavilion, Levels Unawatuna, Calamander, Jetwing Lighthouse, Fort Bazaar","Kingfisher, Happy Banana, Tartaruga, Bedspace Beach, La Boheme",,
180,Galle Maritime Museum,Museum,Southern Province – Galle District,"6.0267° N, 80.2170° E","Galle Maritime Museum displays exhibits related to Sri Lanka’s naval history, marine ecosystems, traditional fishing, and coastal culture. It is located inside the historic Galle Fort.",The museum was established in 1992 within a Dutch colonial warehouse building dating from the 17th century. It preserves maritime heritage connected with Sri Lanka’s long history of Indian Ocean trade and navigation.,Department of National Museums,Opened in 1992; restored after tsunami,Displays Sri Lanka’s maritime history and coastal heritage.,"Ship models, marine artifacts, naval history, exhibits.",9:00 AM – 4:30 PM (closed Sundays/Mondays),1–2 hours,Approx. USD 5,November–April; morning,"Galle Fort, Lighthouse, Dutch Church, Unawatuna, Japanese Peace Pagoda","Amangalla, Fort Bazaar, Galle Fort Hotel, Jetwing Lighthouse, Bartizan","A Minute by Tuk Tuk, Pedlar’s Inn Cafe, Poonie’s Kitchen, Tuna & Crab, Fortaleza",
181,Dutch Reformed Church Galle,Church / Religious Site,Southern Province – Galle District,"6.0270° N, 80.2167° E","The Dutch Reformed Church inside Galle Fort is one of Sri Lanka’s oldest Protestant churches, known for its colonial architecture, historic tombstones, and beautiful interior. It is an important heritage monument within the UNESCO-listed fort.","The church was built by the Dutch in 1755 during their rule of Galle. It was constructed on the site of an earlier Portuguese church and served as a major place of worship for Dutch officials, settlers, and soldiers.",Dutch East India Company,Built 1755 AD,Important Dutch colonial religious monument.,"Historic tombstones, architecture, wooden pulpit, interiors.",9:00 AM – 5:00 PM,30–60 minutes,Free / Donation,November–April; morning,"Galle Fort, Maritime Museum, Lighthouse, National Museum, Unawatuna","Amangalla, Fort Bazaar, Galle Fort Hotel, Jetwing Lighthouse, Bartizan","Pedlar’s Inn Cafe, A Minute by Tuk Tuk, Tuna & Crab, Poonie’s Kitchen, Fortaleza",
182,Ambalangoda Mask Museum,Museum / Cultural Site,Southern Province – Galle District,"6.2333° N, 80.0667° E","Ambalangoda Mask Museum showcases Sri Lanka’s traditional wooden mask-making art, including colourful masks used in cultural dances and rituals. It preserves one of the island’s most unique folk traditions.","Traditional mask carving in Ambalangoda has existed for centuries, especially connected with healing rituals and Kolam dance performances. The museum was established to preserve and promote this indigenous artistic heritage.",Ariyapala family,Established in 1982,Preserves traditional Sri Lankan mask-making culture.,"Mask collections, workshops, carvings, demonstrations.",9:00 AM – 5:00 PM,1 hour,Approx. USD 5,November–April; morning,"Madampe Lake, Hikkaduwa, Galle Fort, Bentota, Madu River","Hikka Tranz, Coral Sands, Citrus Hikkaduwa, Taj Bentota, Cinnamon Bentota","Mamas Coral Beach, Refresh Restaurant, Amal Restaurant, seafood restaurants, local cafes",
183,Madampe Lake,Lake,Southern Province – Galle District,"6.2667° N, 80.0500° E","Madampe Lake is a peaceful coastal lagoon near Ambalangoda, surrounded by mangroves, villages, and rich birdlife. It is suitable for boat rides, nature exploration, and eco-tourism activities.",The lagoon has traditionally supported fishing communities and local agriculture. Its importance has increased with modern wetland conservation and eco-tourism initiatives along Sri Lanka’s southern coast.,Natural lagoon ecosystem,Natural formation,Scenic wetland area known for biodiversity and village life.,"Boat rides, bird watching, mangroves, photography.",Daylight hours,Free/boat fees,November–April; morning,"Ambalangoda Mask Museum, Hikkaduwa, Madu River, Bentota, Galle Fort","Hikka Tranz, Coral Sands, Citrus Hikkaduwa, Taj Bentota, Cinnamon Bentota","Seafood restaurants, local cafes, Amal Restaurant, Refresh Restaurant, beach restaurants",,
184,Beruwala Lighthouse,Lighthouse,Western Province – Kalutara District,"6.4667° N, 79.9833° E",Beruwala Lighthouse is a coastal navigation landmark located near the historic Beruwala harbour area. It offers scenic views of the Indian Ocean and surrounding coastline.,"The lighthouse was developed during the British colonial period to support maritime navigation around Beruwala, one of Sri Lanka’s oldest trading ports. The area has a long history connected with Arab traders and Indian Ocean commerce.",British colonial administration,1889 AD,Historic lighthouse on Barberyn Island.,"Lighthouse, island views, boat ride, coastal scenery.",8:00 AM – 5:00 PM,2 hours,Boat fee applies,November–April; morning,"Beruwala Beach, Bentota, Brief Garden, Madu River, Kande Viharaya","Cinnamon Bey Beruwala, Taj Bentota, Avani Bentota, Centara Ceysands, The Surf Bentota","Amal Restaurant, Pier 88, Malli’s Seafood, Golden Grill, Aida Restaurant",
185,Kalpitiya Dutch Fort,Fort / Historical Site,North Western Province – Puttalam District,"8.2333° N, 79.7667° E",Kalpitiya Dutch Fort is a colonial-era fortress located near the lagoon and coastline. It reflects the strategic importance of Kalpitiya during European colonial competition.,"The Portuguese built the original fort in the early 17th century, and the Dutch captured and rebuilt it in 1667. The fort was used to control coastal trade routes, especially the cinnamon and pearl fisheries.",Dutch East India Company,Built 1667–1676,Colonial fort representing Dutch coastal trading history.,"Fort walls, lagoon views, colonial ruins.",8:00 AM – 5:00 PM,1 hour,Free,November–March; morning,"Kalpitiya Beach, Dolphin watching, St Anne’s Shrine, Bar Reef, Puttalam Lagoon","Bar Reef Resort, Palagama Beach, Dolphin Beach Resort, Salt Bay Kite Resort, Ruins Villa","Tuna & Crab Restaurant, The Crab Shack, Kite House Cafe, beach restaurants, seafood restaurants",
186,Puttalam Lagoon,Lagoon / Wetland,North Western Province – Puttalam District,"8.0333° N, 79.8333° E","Puttalam Lagoon is a large coastal lagoon famous for mangroves, birdlife, fishing, and scenic landscapes. It is an important wetland ecosystem on Sri Lanka’s northwest coast.",The lagoon has supported fishing communities for centuries and was historically connected with coastal trade routes. Its ecosystem remains important for biodiversity conservation and local livelihoods.,Natural lagoon ecosystem,Natural formation,"Important wetland supporting fishing, birds, and marine ecosystems.","Boat tours, bird watching, mangroves, fishing villages.",7:00 AM – 5:00 PM,2–3 hours,Boat fees apply,November–March; morning,"Kalpitiya, Dutch Fort, Wilpattu, Anawilundawa, St Anne’s Shrine","Bar Reef Resort, Palagama Beach, local Puttalam hotels, Dolphin Beach Resort, Salt Bay Kite Resort","Seafood restaurants, Tuna & Crab, Kite House Cafe, local cafes, hotel restaurants",
187,Maho Railway Station Heritage Site,Heritage Site / Railway Station,North Western Province – Kurunegala District,"7.8167° N, 80.2667° E",Maho Railway Station is a historic railway junction in Sri Lanka known for its colonial-era railway architecture and importance in the national railway network. It connects several major routes across the island.,The railway station developed during the British colonial period when railway expansion connected agricultural regions with ports and cities. It became an important transportation hub after the railway network expanded in the late 19th and early 20th centuries.,Sri Lanka Railways,Colonial railway era (early 20th century),Represents Sri Lanka’s railway heritage and northern transport history.,"Historic station architecture, railway photography, train views.",Station operating hours,30–60 minutes,Free,Year-round; morning,"Yapahuwa, Anuradhapura, Kala Wewa, Kurunegala, Ridi Viharaya","Rajarata Hotel, Heritage Hotel Anuradhapura, Avasta Resort, local Maho hotels, Yapahuwa hotels","Local restaurants, Seedevi Restaurant, Casserole Restaurant, Milano Restaurant, village cafes",
188,Kurunegala Lake,Lake,North Western Province – Kurunegala District,"7.4833° N, 80.3667° E",Kurunegala Lake is a scenic urban lake surrounded by greenery and the famous Elephant Rock (Ethagala). It is a popular recreational area for locals and visitors.,"The lake is located near the medieval capital of Kurunegala, which served as Sri Lanka’s capital during the 13th–14th centuries. The area has historical connections with ancient kingdoms and irrigation traditions.",Ancient kings; developed as modern reservoir,Ancient irrigation origins,Important urban landmark and recreational area.,"Lake views, walking paths, bird watching, sunset views.",Open access,1–2 hours,Free,January–April; evening,"Ethagala Rock, Athugala, Ridi Viharaya, Dambadeniya, Arankele","Kandyan Reach Hotel, Hotel Topaz, Earl’s Regency, Grand Kandyan, Kurunegala hotels","Saruketha Restaurant, The Hangout, local cafes, food courts, hotel restaurants",
189,Ethagala Rock,Rock / Viewpoint,North Western Province – Kurunegala District,"7.4833° N, 80.3667° E",Ethagala Rock is a giant elephant-shaped rock overlooking Kurunegala city and is one of the region’s most recognizable landmarks. It provides panoramic views and has cultural significance.,"The rock has long been associated with local legends explaining the elephant-like shape. It is located near the ancient city of Kurunegala, which was an important medieval royal capital.",Natural rock formation,Geological formation,Famous Kurunegala landmark shaped like an elephant.,"Rock viewpoint, Buddha statue, city panorama, hiking.",6:00 AM – 6:00 PM,1–2 hours,Free,January–April; sunset,"Kurunegala Lake, Ridi Viharaya, Dambadeniya, Arankele, Yapahuwa","Kandyan Reach Hotel, Hotel Topaz, Grand Kandyan, Earl’s Regency, local hotels","Saruketha Restaurant, The Hangout, local restaurants, cafes, food courts",
190,Ridiyagama Safari Park,Wildlife Park,Southern Province – Hambantota District,"6.1500° N, 81.0500° E","Ridiyagama Safari Park is Sri Lanka’s first open safari park, featuring animals from different regions of the world. Visitors can observe wildlife in large natural-style enclosures.",The park was opened in 2016 as part of Sri Lanka’s wildlife tourism development. It was created to provide a modern wildlife experience while supporting conservation and public education.,Department of National Zoological Gardens,Opened in 2016,Sri Lanka’s first open safari park for wildlife conservation and education.,"Safari zones, lions, giraffes, elephants, animal viewing.",8:30 AM – 5:30 PM,3–4 hours,Approx. USD 15–20,May–September; morning,"Hambantota, Bundala, Yala, Mattala, Tissamaharama","Shangri-La Hambantota, Jetwing Yala, Kithala Resort, Hotel Chandrika, Grand Tamarind Lake","The Deck Restaurant, Shangri-La restaurants, local Hambantota restaurants, hotel restaurants, seafood restaurants",
191,Elephant Transit Home Udawalawe,Wildlife Conservation Centre,Sabaragamuwa Province – Ratnapura District,"6.4500° N, 80.9000° E",Elephant Transit Home is a conservation centre near Udawalawe National Park that cares for orphaned baby elephants before releasing them back into the wild. It focuses on rehabilitation rather than permanent captivity.,The centre was established in 1995 by the Department of Wildlife Conservation with support from conservation organizations. It has successfully rehabilitated many injured and orphaned elephants and released them into protected habitats.,Department of Wildlife Conservation,Established in 1995,Conservation centre rehabilitating orphaned elephants before release.,"Elephant feeding, conservation programs, viewing platform.",8:30 AM – 6:00 PM,1–2 hours,Approx. USD 5–10,May–September; feeding times,"Udawalawe National Park, Reservoir, Bambarakanda Falls, Diyaluma Falls, Ratnapura","Grand Udawalawe Safari Resort, Athgira River Camping, Kalu’s Hideaway, Elephant Trail, Silent Bungalow","Athgira Restaurant, Wildlife Safari Restaurant, Green Park Restaurant, local cafes, hotel restaurants",
192,Sinharaja Pitadeniya Entrance,Rainforest / Nature Site,Sabaragamuwa Province – Ratnapura District,"6.4000° N, 80.5000° E","Pitadeniya Entrance is one of the main access points to Sinharaja Forest Reserve, offering guided rainforest trails and opportunities to observe endemic species. It is popular among hikers and nature enthusiasts.",The entrance was developed as part of conservation management for Sinharaja after the forest became internationally recognized. Sinharaja was declared a UNESCO World Heritage Site in 1988 due to its exceptional biodiversity.,Department of Forest Conservation,Protected since 1875,Gateway to UNESCO Sinharaja rainforest conservation area.,"Rainforest trails, endemic species, waterfalls, bird watching.",6:00 AM – 6:00 PM,4–6 hours,Approx. USD 10–20 + guide,January–April; morning,"Sinharaja Forest, Deniyaya, Maduwanwela Walawwa, Udawalawe, Ratnapura","Sinharaja Forest Edge, Rainforest Eco Lodge, Blue Magpie Lodge, Lavenro Hotel, Boulder Garden","Forest Edge Restaurant, Eco Villa Restaurant, Deniyaya cafes, local restaurants, lodge restaurants",
193,Beddagana Wetland Park,Wetland Park,Western Province – Colombo District,"6.8500° N, 79.9000° E","Beddagana Wetland Park is an urban nature park near Colombo featuring wetlands, walking paths, birdlife, butterflies, and scenic views. It demonstrates the ecological value of urban wetlands.",The park was developed in 2016 by the Sri Jayawardenepura Kotte municipal authorities to conserve urban wetland ecosystems. The area forms part of the Diyawanna Oya wetland network near Sri Lanka’s administrative capital.,Urban Development Authority,Opened in 2016,Protects Colombo wetlands and urban biodiversity.,"Walking trails, birds, butterflies, wetlands, photography.",6:00 AM – 6:00 PM,1–2 hours,Approx. USD 5,November–April; morning/evening,"Diyasaru Park, Parliament, Diyatha Uyana, Independence Square, Colombo","Hilton Colombo, Cinnamon Grand, Shangri-La Colombo, Galle Face Hotel, Mövenpick Colombo","Ministry of Crab, Nihonbashi, Upali’s, The Gallery Cafe, Nuga Gama",
194,Diyasaru Park,Urban Wetland Park,Western Province – Colombo District,"6.8500° N, 79.9000° E","Diyasaru Park is a wetland conservation park located in Sri Jayawardenepura Kotte, known for bird watching, walking trails, and biodiversity. It provides a natural escape within the city area.",The park was established to protect the urban wetlands around Diyawanna Oya and promote environmental education. It represents modern efforts to conserve Colombo’s remaining wetland habitats.,Sri Lanka Land Reclamation and Development Corporation,Opened in 2017,Wetland conservation and environmental education centre.,"Bird watching, boardwalks, canoe rides, nature trails.",6:00 AM – 6:00 PM,1–2 hours,Approx. USD 5,November–April; morning,"Beddagana Wetland Park, Parliament, Diyatha Uyana, Ape Gama, Colombo","Hilton Colombo, Cinnamon Grand, Shangri-La Colombo, Galle Face Hotel, Mövenpick Colombo","Ministry of Crab, Nihonbashi, Upali’s, The Gallery Cafe, Nuga Gama",
195,Colombo Port Maritime Area,Port / Urban Attraction,Western Province – Colombo District,"6.9400° N, 79.8500° E","Colombo Port Maritime Area is a major harbour zone representing Sri Lanka’s importance as an Indian Ocean trading centre. It includes harbour views, maritime activities, and the historic connection between Colombo and global shipping.","Colombo Port has been a major trading harbour for centuries, with influences from Arab, Portuguese, Dutch, and British maritime powers. Modern port development expanded significantly during the colonial period and continues to serve as one of South Asia’s busiest transshipment hubs.",Colonial port authorities,Developed from colonial period onward,Represents Sri Lanka’s maritime trade history.,"Port views, ships, harbour scenery, maritime activities.",Restricted access areas,1 hour,Free/permission may apply,Year-round; evening,"Dutch Hospital, Lighthouse, Fort, Red Mosque, Galle Face Green","Galle Face Hotel, Shangri-La Colombo, Hilton Colombo, Cinnamon Grand, Mövenpick Colombo","Ministry of Crab, Nihonbashi, The Lagoon, Upali’s, The Gallery Cafe",
196,Port City Colombo,Urban Development / Waterfront Area,Western Province – Colombo District,"6.9530° N, 79.8400° E","Port City Colombo is a modern reclaimed waterfront development located beside Colombo Harbour. It is planned as a financial, residential, and tourism hub featuring parks, business areas, and waterfront attractions.",The project began in 2014 as a major urban development initiative involving land reclamation from the sea. It represents one of Sri Lanka’s largest modern infrastructure projects aimed at expanding Colombo’s economic and commercial capacity.,CHEC Port City Colombo,Construction began 2014,Modern urban development project representing Sri Lanka’s future city planning.,"Waterfront promenade, views, events, photography.",Public areas vary,1–2 hours,Free,November–April; sunset,"Galle Face Green, Lotus Tower, Dutch Hospital, Colombo Fort, Lighthouse","Shangri-La Colombo, Galle Face Hotel, Hilton Colombo, Cinnamon Grand, Mövenpick Colombo","Ministry of Crab, Nihonbashi, The Lagoon, Upali’s, The Gallery Cafe",
197,BMICH (Bandaranaike Memorial International Conference Hall),Convention Centre / Landmark,Western Province – Colombo District,"6.8977° N, 79.8680° E","BMICH is a landmark convention centre in Colombo known for international conferences, exhibitions, and cultural events. Its distinctive architecture makes it one of the city’s most recognizable buildings.",BMICH was built between 1973 and 1975 as a gift from the People’s Republic of China to Sri Lanka in memory of former Prime Minister S. W. R. D. Bandaranaike. It was the first purpose-built international conference hall in South Asia.,Built with Chinese government assistance,Opened in 1973,Important diplomatic and conference landmark of Sri Lanka.,"Architecture, exhibitions, gardens, events.",9:00 AM – 5:00 PM (events vary),1 hour,Free/varies by event,Year-round; daytime,"Independence Hall, National Museum, Viharamahadevi Park, Lotus Tower, Gangaramaya Temple","Cinnamon Grand, Shangri-La Colombo, Hilton Colombo, Mövenpick, Galle Face Hotel","Ministry of Crab, Upali’s, Nuga Gama, Gallery Cafe, Nihonbashi",
198,Nelum Pokuna Theatre,Theatre / Cultural Site,Western Province – Colombo District,"6.9095° N, 79.8650° E","Nelum Pokuna Mahinda Rajapaksa Theatre is a modern performing arts centre in Colombo hosting concerts, theatre productions, and cultural events. Its lotus-inspired design is a major architectural feature.",The theatre opened in 2011 and was inspired by the ancient “Nelum Pokuna” (lotus pond) concept from Sri Lankan history. It was developed to provide a world-class venue for performing arts and entertainment.,Government of Sri Lanka,Opened in 2011,Major performing arts venue promoting Sri Lankan culture.,"Theatre performances, architecture, cultural shows.",Event-based,1–3 hours,Event dependent,Year-round; evening shows,"National Museum, Viharamahadevi Park, Independence Hall, BMICH, Gangaramaya","Cinnamon Grand, Shangri-La, Hilton Colombo, Mövenpick, Galle Face Hotel","Ministry of Crab, Upali’s, Nuga Gama, Nihonbashi, Gallery Cafe",
199,Old Parliament Building Colombo,Historical Building / Monument,Western Province – Colombo District,"6.9347° N, 79.8417° E",The Old Parliament Building is a historic colonial-era structure located near the Colombo Fort waterfront. It is known for its neoclassical architecture and historical political importance.,The building was constructed in 1930 during British colonial rule and originally served as the Legislative Council building. It remained Sri Lanka’s parliamentary building until the legislature moved to Sri Jayawardenepura Kotte in 1983.,British colonial government,Built 1930 AD,Historic government building representing Sri Lanka’s colonial and political heritage.,"Colonial architecture, gardens, waterfront views, photography.",Exterior viewing only,30–60 minutes,Free,November–April; evening,"Galle Face Green, Colombo Fort, Port City, Lighthouse, Dutch Hospital","Galle Face Hotel, Shangri-La Colombo, Hilton Colombo, Cinnamon Grand, Mövenpick Colombo","Ministry of Crab, Nihonbashi, The Lagoon, Upali’s, The Gallery Cafe",
200,Independence Square Arcade,Shopping / Heritage Complex,Western Province – Colombo District,"6.9025° N, 79.8697° E",Independence Square Arcade is a shopping and leisure complex located near Independence Memorial Hall. It combines colonial-era architecture with modern retail and dining facilities.,"The arcade was developed through the restoration of former colonial buildings, including parts of the old Independence Commemoration structures. It reflects efforts to preserve historic architecture while creating modern public spaces.",Urban Development Authority,Developed in 2014,Modern shopping and leisure space integrated with national heritage surroundings.,"Shopping, restaurants, colonial buildings, gardens, walking area.",10:00 AM – 10:00 PM,1–2 hours,Free,November–April; evening,"Independence Memorial Hall, BMICH, National Museum, Viharamahadevi Park, Nelum Pokuna","Cinnamon Grand Colombo, Shangri-La Colombo, Hilton Colombo, Mövenpick Colombo, Galle Face Hotel","Ministry of Crab, Nihonbashi, Upali’s, Nuga Gama, The Gallery Cafe",
201,Colombo Dutch Hospital,Historical Building / Shopping Precinct,Western Province – Colombo District,"6.9347° N, 79.8428° E","Colombo Dutch Hospital is one of the oldest surviving Dutch colonial buildings in Sri Lanka, now converted into a shopping and dining area. It is located in the historic Colombo Fort district.","The building was constructed by the Dutch East India Company around the late 17th century as a hospital for Dutch officials and soldiers. After serving various purposes under British rule, it was restored as a heritage attraction.",Dutch East India Company,Built around 1681 AD,"One of Colombo’s oldest Dutch colonial buildings, now a heritage shopping precinct.","Colonial architecture, restaurants, boutiques, courtyard.",10:00 AM – 11:00 PM (varies),1–2 hours,Free,Year-round; evening,"Colombo Fort, Red Mosque, Lighthouse, Galle Face Green, Port City","Galle Face Hotel, Shangri-La Colombo, Hilton Colombo, Cinnamon Grand, Mövenpick Colombo","Ministry of Crab, Nihonbashi, The Lagoon, Upali’s, Colombo Fort Cafe",
202,Wolvendaal Church,Church / Religious Site,Western Province – Colombo District,"6.9472° N, 79.8653° E","Wolvendaal Church is one of Sri Lanka’s oldest Protestant churches, located in Colombo’s Pettah area. It is famous for its Dutch colonial architecture, tombstones, and historical significance.",The church was built by the Dutch in 1757 during their control of Colombo. It served the Dutch Reformed community and remains one of the best-preserved Dutch colonial religious buildings in Sri Lanka.,Dutch Reformed Church,Built 1749 AD,One of Sri Lanka’s oldest Protestant churches and Dutch colonial monuments.,"Dutch architecture, historic tombstones, wooden furniture, interiors.",8:30 AM – 4:00 PM,1 hour,Free / Donation,November–April; morning,"Dutch Hospital, Pettah Market, Red Mosque, Colombo Fort, Lighthouse","Hilton Colombo, Cinnamon Grand, Shangri-La, Galle Face Hotel, Mövenpick Colombo","Ministry of Crab, Nihonbashi, Upali’s, The Lagoon, local Pettah restaurants",
203,St. Lucia's Cathedral Colombo,Church / Religious Site,Western Province – Colombo District,"6.9547° N, 79.8667° E","St. Lucia’s Cathedral is the largest Roman Catholic cathedral in Sri Lanka, known for its impressive architecture, stained glass, and religious importance. It is a major Catholic landmark in Colombo.",Construction began in 1873 and the cathedral was completed in 1902 during the British colonial period. It became the seat of the Archbishop of Colombo and an important centre of Catholic worship.,Catholic Church community,Construction 1873–1905,Largest Catholic cathedral in Sri Lanka and major Christian landmark.,"Cathedral architecture, statues, religious ceremonies, stained glass.",6:00 AM – 7:00 PM,30–60 minutes,Free,Year-round; morning/evening,"Wolvendaal Church, Colombo Fort, Red Mosque, Dutch Hospital, Kelaniya Temple","Hilton Colombo, Cinnamon Grand, Shangri-La Colombo, Galle Face Hotel, Mövenpick Colombo","Ministry of Crab, Nihonbashi, Upali’s, local Colombo restaurants, The Gallery Cafe",
