Route Name,Disaster/Risk Type,Severity Level,Primary Risk Factor,Month/Season of High Risk,Historical Occurrence Count,Safety Recommendation,
A12 Puttalam-Trincomalee (KM 0-2),Flash Flood,High,River Overflow,Oct-Dec,45,Severe washout risk,
A12 Puttalam-Trincomalee (KM 2-4),Accident Blackspot,Medium,Wet Surface,Oct-Dec,36,Slippery when wet,
A12 Puttalam-Trincomalee (KM 4-6),Flash Flood,High,Basin Overflow,Oct-Dec,55,Avoid in heavy downpours,
A12 Puttalam-Trincomalee (KM 6-8),Accident Blackspot,High,Straight Road,Year-round,72,Avoid highway hypnosis,
A12 Puttalam-Trincomalee (KM 8-10),Elephant Crossing,Low,Wildlife Corridor,Year-round,22,Obey warning signs,
A12 Puttalam-Trincomalee (KM 10-12),Accident Blackspot,Medium,Night Traffic,Year-round,48,Ensure proper vehicle lighting,
A12 Puttalam-Trincomalee (KM 12-14),Flash Flood,Low,Poor Drainage,Oct-Dec,18,Check for water pooling,
A12 Puttalam-Trincomalee (KM 14-16),Accident Blackspot,High,Speeding,Year-round,85,Radar monitoring active,
A12 Puttalam-Trincomalee (KM 16-18),Elephant Crossing,Medium,Proximity to Park,Year-round,51,Do not sound horn at elephants,
A12 Puttalam-Trincomalee (KM 18-20),Accident Blackspot,Medium,Mixed Traffic,Year-round,41,Yield to heavy vehicles,
A12 Puttalam-Trincomalee (KM 20-22),Flash Flood,Medium,Seasonal Streams,Oct-Dec,29,Do not cross flooded dips,
A12 Puttalam-Trincomalee (KM 22-24),Accident Blackspot,High,Pedestrian Activity,Year-round,66,Watch for cyclists,
A12 Puttalam-Trincomalee (KM 24-26),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),110,Anuradhapura crossing; high risk [4],
A12 Puttalam-Trincomalee (KM 26-28),Accident Blackspot,Medium,Unpaved Edges,Year-round,38,Avoid shoulder driving,
A12 Puttalam-Trincomalee (KM 28-30),Flash Flood,Low,Low Lying Area,Oct-Dec,12,Watch for shoulder flooding,
A12 Puttalam-Trincomalee (KM 30-32),Elephant Crossing,High,Highway Blockage,Year-round,135,Travel behind larger vehicles,
A12 Puttalam-Trincomalee (KM 32-34),Accident Blackspot,High,High Speed,Year-round,78,Do not overtake,
A12 Puttalam-Trincomalee (KM 34-36),Elephant Crossing,Medium,Reserve Border,Year-round,82,Obey DWC signage,
A12 Puttalam-Trincomalee (KM 36-38),Accident Blackspot,Medium,Driver Fatigue,Year-round,45,Take frequent breaks,
A12 Puttalam-Trincomalee (KM 38-40),Flash Flood,High,Retention Basin,Oct-Dec,48,Total submersion risk,
A12 Puttalam-Trincomalee (KM 40-42),Elephant Crossing,High,Aggressive Behavior,Year-round,125,Never feed elephants,
A12 Puttalam-Trincomalee (KM 42-44),Accident Blackspot,High,Complex Junction,Year-round,71,Slow down,
A12 Puttalam-Trincomalee (KM 44-46),Flash Flood,Medium,Poor Drainage,Oct-Dec,24,Cross water slowly,
A12 Puttalam-Trincomalee (KM 46-48),Elephant Crossing,High,Wildlife Corridor,Year-round,145,Do not travel at dusk/dawn,
A12 Puttalam-Trincomalee (KM 48-50),Accident Blackspot,High,Severe Congestion,Year-round,92,Trincomalee approach; caution,
A6 Ambepussa-Trinco (KM 0-2),Accident Blackspot,High,Urban Traffic,Year-round,85,Ambepussa stretch; strict speed control,
A6 Ambepussa-Trinco (KM 2-4),Earthslip,Medium,Residual Soil,May-Jul (Monsoon),16,Monitor shoulder stability,
A6 Ambepussa-Trinco (KM 4-6),Accident Blackspot,High,Sharp Bend,Year-round,68,Do not overtake,
A6 Ambepussa-Trinco (KM 6-8),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),11,Check for water on road,
A6 Ambepussa-Trinco (KM 8-10),Accident Blackspot,High,High Speed,Year-round,92,Radar monitoring,
A6 Ambepussa-Trinco (KM 10-12),Earthslip,High,Unstable Topsoil,May-Jul (Monsoon),28,Watch for shoulder drop-offs,
A6 Ambepussa-Trinco (KM 12-14),Accident Blackspot,Medium,Pedestrian Activity,Year-round,55,Slow down,
A6 Ambepussa-Trinco (KM 14-16),Flash Flood,Medium,River Overflow,Oct-Dec,22,Avoid in heavy downpours,
A6 Ambepussa-Trinco (KM 16-18),Accident Blackspot,High,Complex Junction,Year-round,88,Watch for vehicles entering from by-lanes,
A6 Ambepussa-Trinco (KM 18-20),Elephant Crossing,Low,Wildlife Corridor,Year-round,18,Obey warning signs,
A6 Ambepussa-Trinco (KM 20-22),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),49,Slippery when wet,
A6 Ambepussa-Trinco (KM 22-24),Earthslip,Medium,Saturated Slope,May-Jul (Monsoon),15,Avoid parking on soft shoulders,
A6 Ambepussa-Trinco (KM 24-26),Accident Blackspot,High,High Speed,Year-round,75,Maintain lane discipline,
A6 Ambepussa-Trinco (KM 26-28),Flash Flood,Low,Low Lying Area,Oct-Dec,14,Watch for standing water,
A6 Ambepussa-Trinco (KM 28-30),Accident Blackspot,Medium,Night Traffic,Year-round,52,Ensure proper vehicle lighting,
A6 Ambepussa-Trinco (KM 30-32),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),125,Pass quickly; watch for herds,
A6 Ambepussa-Trinco (KM 32-34),Accident Blackspot,High,Driver Fatigue,Year-round,82,Dambulla stretch; avoid highway hypnosis,
A6 Ambepussa-Trinco (KM 34-36),Elephant Crossing,Medium,Reserve Border,Year-round,68,Obey DWC signage,
A6 Ambepussa-Trinco (KM 36-38),Flash Flood,High,Basin Overflow,Oct-Dec,41,High risk of road washout,
A6 Ambepussa-Trinco (KM 38-40),Accident Blackspot,Medium,Unpaved Edges,Year-round,45,Avoid shoulder driving,
A6 Ambepussa-Trinco (KM 40-42),Elephant Crossing,High,Aggressive Behavior,Year-round,140,Never feed elephants,
A6 Ambepussa-Trinco (KM 42-44),Accident Blackspot,High,Straight Road,Year-round,77,Strict speed control,
A6 Ambepussa-Trinco (KM 44-46),Elephant Crossing,High,Highway Blockage,Year-round,135,Travel in convoys during daytime,
A6 Ambepussa-Trinco (KM 46-48),Flash Flood,Medium,Poor Drainage,Oct-Dec,26,Do not cross flooded dips,
A6 Ambepussa-Trinco (KM 48-50),Accident Blackspot,High,Severe Congestion,Year-round,95,Trincomalee approach; extreme caution,
A15 Batticaloa-Trinco (KM 0-2),Flash Flood,High,Coastal Inundation,Oct-Dec,55,Severe washout risk,
A15 Batticaloa-Trinco (KM 2-4),Accident Blackspot,Medium,Urban Traffic,Year-round,62,Slow down in Batticaloa,
A15 Batticaloa-Trinco (KM 4-6),Flash Flood,High,River Overflow,Oct-Dec,68,Avoid in storms,
A15 Batticaloa-Trinco (KM 6-8),Accident Blackspot,High,Speeding,Year-round,85,Radar monitoring active,
A15 Batticaloa-Trinco (KM 8-10),Elephant Crossing,Low,Wildlife Corridor,Year-round,22,Obey warning signs,
A15 Batticaloa-Trinco (KM 10-12),Flash Flood,Medium,Poor Drainage,Oct-Dec,31,Check for water on road,
A15 Batticaloa-Trinco (KM 12-14),Accident Blackspot,Medium,Straight Road,Year-round,58,Maintain safe speeds,
A15 Batticaloa-Trinco (KM 14-16),Flash Flood,High,Lagoon Overflow,Oct-Dec,52,Total submersion risk,
A15 Batticaloa-Trinco (KM 16-18),Accident Blackspot,High,Pedestrian Activity,Year-round,75,Watch for crossing pedestrians,
A15 Batticaloa-Trinco (KM 18-20),Elephant Crossing,Medium,Proximity to Park,Year-round,65,Do not travel at dusk/dawn,
A15 Batticaloa-Trinco (KM 20-22),Flash Flood,Low,Seasonal Streams,Oct-Dec,16,Cross water slowly,
A15 Batticaloa-Trinco (KM 22-24),Accident Blackspot,Medium,Night Traffic,Year-round,44,Night travel heavily restricted,
A15 Batticaloa-Trinco (KM 24-26),Elephant Crossing,High,Highway Blockage,Year-round,115,Pass quickly,
A15 Batticaloa-Trinco (KM 26-28),Accident Blackspot,High,Unregulated Access,Year-round,82,Watch for entering vehicles,
A15 Batticaloa-Trinco (KM 28-30),Flash Flood,High,Retention Basin,Oct-Dec,48,Monitor DMC alerts,
A15 Batticaloa-Trinco (KM 30-32),Elephant Crossing,High,Aggressive Behavior,Year-round,130,Never feed elephants,
A15 Batticaloa-Trinco (KM 32-34),Accident Blackspot,Medium,Wet Surface,Oct-Dec,41,Slippery when wet,
A15 Batticaloa-Trinco (KM 34-36),Elephant Crossing,High,Water Sources,Jul-Sep (Dry Season),125,Travel behind larger vehicles,
A15 Batticaloa-Trinco (KM 36-38),Flash Flood,Medium,Low Lying Area,Oct-Dec,28,Watch for shoulder flooding,
A15 Batticaloa-Trinco (KM 38-40),Accident Blackspot,High,Driver Fatigue,Year-round,92,Avoid highway hypnosis,
A18 Pelmadulla-Nonagama (KM 0-2),Landslide,Medium,Slope Failure,May-Jul (Monsoon),18,Avoid edge driving,
A18 Pelmadulla-Nonagama (KM 2-4),Accident Blackspot,High,Sharp Bend,Year-round,65,Reduce speed significantly,
A18 Pelmadulla-Nonagama (KM 4-6),Earthslip,High,Saturated Soil,May-Jul (Monsoon),26,Watch for shoulder drop-offs,
A18 Pelmadulla-Nonagama (KM 6-8),Accident Blackspot,Medium,Mixed Traffic,Year-round,48,Yield to heavy vehicles,
A18 Pelmadulla-Nonagama (KM 8-10),Rock Fall,Low,Weathered Rock,May-Jul (Monsoon),11,Do not park near rock face,
A18 Pelmadulla-Nonagama (KM 10-12),Accident Blackspot,High,High Speed,Year-round,82,Maintain lane discipline,
A18 Pelmadulla-Nonagama (KM 12-14),Flash Flood,Medium,River Overflow,May-Jul (Monsoon),22,Do not cross flooded dips,
A18 Pelmadulla-Nonagama (KM 14-16),Accident Blackspot,Medium,Wet Surface,May-Jul (Monsoon),39,Slippery when wet,
A18 Pelmadulla-Nonagama (KM 16-18),Elephant Crossing,Low,Reserve Border,Year-round,16,Obey DWC signage,
A18 Pelmadulla-Nonagama (KM 18-20),Accident Blackspot,High,Complex Junction,Year-round,75,Embilipitiya approach; caution,
A18 Pelmadulla-Nonagama (KM 20-22),Flash Flood,High,Basin Overflow,May-Jul (Monsoon),44,Severe washout risk,
A18 Pelmadulla-Nonagama (KM 22-24),Accident Blackspot,Medium,Pedestrian Activity,Year-round,52,Watch for crossing pedestrians,
A18 Pelmadulla-Nonagama (KM 24-26),Elephant Crossing,High,Proximity to Park,Year-round,115,Keep windows closed; hide food,
A18 Pelmadulla-Nonagama (KM 26-28),Accident Blackspot,High,Speeding,Year-round,88,Radar monitoring active,
A18 Pelmadulla-Nonagama (KM 28-30),Elephant Crossing,High,Highway Blockage,Year-round,140,Travel in convoys during daytime [13],
A18 Pelmadulla-Nonagama (KM 30-32),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),14,Check for water pooling,
A18 Pelmadulla-Nonagama (KM 32-34),Accident Blackspot,Medium,Straight Road,Year-round,61,Avoid highway hypnosis,
A18 Pelmadulla-Nonagama (KM 34-36),Elephant Crossing,High,Aggressive Behavior,Year-round,125,Never feed elephants,
A18 Pelmadulla-Nonagama (KM 36-38),Accident Blackspot,High,Night Traffic,Year-round,72,Night travel heavily restricted,
A18 Pelmadulla-Nonagama (KM 38-40),Flash Flood,Medium,Seasonal Streams,May-Jul (Monsoon),28,Cross water slowly,
A9 Kandy-Jaffna (KM 200-202),Accident Blackspot,High,Straight Road,Year-round,85,Avoid driver fatigue [14],
A9 Kandy-Jaffna (KM 202-204),Accident Blackspot,Medium,High Speed,Year-round,62,Enforce speed limits,
A9 Kandy-Jaffna (KM 204-206),Accident Blackspot,High,Pedestrian Activity,Year-round,78,Watch for cyclists,
A9 Kandy-Jaffna (KM 206-208),Flash Flood,Low,Poor Drainage,Oct-Dec,15,Check for water on road,
A9 Kandy-Jaffna (KM 208-210),Accident Blackspot,High,Geometric Flaw,Year-round,92,Do not overtake,
A9 Kandy-Jaffna (KM 210-212),Accident Blackspot,Medium,Wet Surface,Oct-Dec,41,Slippery when wet,
A9 Kandy-Jaffna (KM 212-214),Accident Blackspot,High,Speeding,Year-round,88,Radar monitoring active,
A9 Kandy-Jaffna (KM 214-216),Flash Flood,Medium,Low Lying Area,Oct-Dec,22,Watch for shoulder flooding,
A9 Kandy-Jaffna (KM 216-218),Accident Blackspot,High,Cross Traffic,Year-round,75,Beware of intersecting minor roads,
A9 Kandy-Jaffna (KM 218-220),Accident Blackspot,Medium,Night Traffic,Year-round,48,Ensure proper vehicle lighting,
A9 Kandy-Jaffna (KM 220-222),Accident Blackspot,High,High Speed,Year-round,95,Extremely high accident rate,
A9 Kandy-Jaffna (KM 222-224),Flash Flood,Low,Seasonal Streams,Oct-Dec,12,Do not cross flooded dips,
A9 Kandy-Jaffna (KM 224-226),Accident Blackspot,High,Driver Fatigue,Year-round,82,Take regular breaks,
A9 Kandy-Jaffna (KM 226-228),Accident Blackspot,Medium,Unpaved Edges,Year-round,36,Avoid shoulder driving,
A9 Kandy-Jaffna (KM 228-230),Accident Blackspot,High,Complex Junction,Year-round,77,Kilinochchi approach; slow down,
A9 Kandy-Jaffna (KM 230-232),Flash Flood,Medium,Retention Basin,Oct-Dec,26,High inundation risk,
A9 Kandy-Jaffna (KM 232-234),Accident Blackspot,High,Straight Road,Year-round,88,Avoid highway hypnosis,
A9 Kandy-Jaffna (KM 234-236),Accident Blackspot,Medium,Mixed Traffic,Year-round,55,Yield to heavy vehicles,
A9 Kandy-Jaffna (KM 236-238),Accident Blackspot,High,Speeding,Year-round,91,Fatal crash zone,
A9 Kandy-Jaffna (KM 238-240),Flash Flood,High,River Overflow,Oct-Dec,48,Monitor DMC alerts,
B-Road Matale (Rattota-Laggala),Landslide,High,Steep Gradient,May-Jul (Monsoon),36,Rank A Risk Area; highly dangerous,
B-Road Matale (Rattota-Laggala),Earthslip,High,Soil Saturation,May-Jul (Monsoon),28,Avoid during heavy continuous rain,
B-Road Matale (Naula-Elahera),Rock Fall,Medium,Exposed Bedrock,May-Jul (Monsoon),18,Continuous transit required,
B-Road Matale (Naula-Elahera),Accident Blackspot,High,Sharp Bend,Year-round,65,Sound horn at blind spots,
B-Road Matale (Ukuwela-Elkaduwa),Landslide,High,Slope Erosion,May-Jul (Monsoon),32,Check NBRO warnings,
B-Road Matale (Ukuwela-Elkaduwa),Heavy Mist,Medium,High Altitude,Year-round,88,Use fog lights,
B-Road Matale (Dambulla-Bakamuna),Elephant Crossing,High,Wildlife Corridor,Year-round,115,Do not travel at dusk/dawn,
B-Road Matale (Dambulla-Bakamuna),Accident Blackspot,Medium,Speeding,Year-round,48,Maintain safe speeds,
B-Road Matale (Galewela-Palapathwela),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),14,Watch for water pooling,
B-Road Matale (Galewela-Palapathwela),Earthslip,Medium,Unstable Topsoil,May-Jul (Monsoon),21,Watch for eroded road edges,
B-Road Ampara (Ampara-Siyambalanduwa),Flash Flood,High,River Overflow,Oct-Dec,68,Severe washout risk,
B-Road Ampara (Ampara-Siyambalanduwa),Accident Blackspot,High,Straight Road,Year-round,75,Avoid highway hypnosis,
B-Road Ampara (Akkaraipattu-Sagamam),Flash Flood,High,Basin Overflow,Oct-Dec,55,Total submersion risk,
B-Road Ampara (Akkaraipattu-Sagamam),Elephant Crossing,Medium,Proximity to Park,Year-round,62,Obey warning signs,
B-Road Ampara (Dehiattakandiya-Maha Oya),Flash Flood,Medium,Low Lying Area,Oct-Dec,38,Watch for shoulder flooding,
B-Road Ampara (Dehiattakandiya-Maha Oya),Accident Blackspot,Medium,Wet Surface,Oct-Dec,41,Slippery when wet,
B-Road Batticaloa (Valaichchenai-Vakarai),Flash Flood,High,Coastal Inundation,Oct-Dec,72,Monitor DMC alerts,
B-Road Batticaloa (Valaichchenai-Vakarai),Accident Blackspot,High,Speeding,Year-round,85,Radar monitoring active,
B-Road Batticaloa (Kalkudah-Pethalai),Flash Flood,Medium,Lagoon Overflow,Oct-Dec,34,Do not cross flooded dips,
B-Road Batticaloa (Kalkudah-Pethalai),Elephant Crossing,Low,Reserve Border,Year-round,25,Keep windows closed,
B-Road Monaragala (Wellawaya-Monaragala),Elephant Crossing,High,Highway Blockage,Year-round,145,Travel in convoys during daytime,
B-Road Monaragala (Wellawaya-Monaragala),Accident Blackspot,High,High Speed,Year-round,82,Strict speed control,
B-Road Monaragala (Bibile-Medagama),Flash Flood,Low,Seasonal Streams,Oct-Dec,18,Cross water slowly,
B-Road Monaragala (Bibile-Medagama),Earthslip,Medium,Residual Soil,Oct-Dec,22,Monitor shoulder stability,
B-Road Monaragala (Thanamalwila-Lunugamvehera),Elephant Crossing,High,Aggressive Behavior,Year-round,135,Never feed elephants,
B-Road Monaragala (Thanamalwila-Lunugamvehera),Accident Blackspot,Medium,Night Traffic,Year-round,58,Night travel not recommended,
B-Road Hambantota (Hambantota-Gonnoruwa),Flash Flood,Medium,River Overflow,Oct-Dec,35,Avoid in heavy downpours,
B-Road Hambantota (Hambantota-Gonnoruwa),Elephant Crossing,Medium,Wildlife Corridor,Year-round,72,Do not sound horn at elephants,
B-Road Hambantota (Weeraketiya-Walasmulla),Earthslip,Medium,Unstable Topsoil,Oct-Dec,26,Adhere to NBRO warnings,
B-Road Hambantota (Weeraketiya-Walasmulla),Accident Blackspot,High,Complex Junction,Year-round,68,Slow down,
B-Road Gampaha (Gampaha-Ja-Ela),Flash Flood,High,Retention Basin,May-Jul (Monsoon),85,High risk of road washout [15],
B-Road Gampaha (Gampaha-Ja-Ela),Accident Blackspot,High,Severe Congestion,Year-round,115,Maintain lane discipline,
B-Road Gampaha (Minuwangoda-Veyangoda),Flash Flood,Medium,Poor Drainage,May-Jul (Monsoon),42,Check for water pooling,
B-Road Gampaha (Minuwangoda-Veyangoda),Accident Blackspot,High,Speeding,Year-round,88,Watch for entering vehicles,
B-Road Colombo (Hanwella-Pugoda),Flash Flood,High,River Overflow,May-Jul (Monsoon),95,Kelani Ganga overflow risk,
B-Road Colombo (Hanwella-Pugoda),Earthslip,Medium,Riverbank Erosion,May-Jul (Monsoon),32,Avoid edge driving,
B-Road Colombo (Homagama-Padukka),Flash Flood,Medium,Low Lying Area,May-Jul (Monsoon),55,Watch for standing water,
B-Road Colombo (Homagama-Padukka),Accident Blackspot,High,Mixed Traffic,Year-round,105,Yield to buses,
B-Road Colombo (Kottawa-Thalawatugoda),Flash Flood,Low,Poor Drainage,May-Jul (Monsoon),28,Do not cross flooded dips,
B-Road Colombo (Kottawa-Thalawatugoda),Accident Blackspot,High,Severe Congestion,Year-round,120,Extreme caution,
